Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected
140,100,0,8,100,100,0,0,0,0,0,100,100,0.0210649218,46.7178077369,12.5000000000,15.3601737139,1.0000000000,0.8000000000,250.0000000000,0,0
141,100,0,11,100,100,0,0,1,111,1267,100,100,0.0357905382,46.6820171987,9.0909090909,15.1201709136,1.0000000000,0.8888000000,225.0225022502,0,0
142,100,0,11,100,100,0,0,0,0,0,100,100,0.0208067256,46.6612104731,9.0909090909,15.1201709136,1.0000000000,0.8000000000,250.0000000000,0,0
143,100,0,11,100,100,0,0,0,0,0,100,100,0.0208067256,46.6404037476,9.0909090909,15.1201709136,1.0000000000,0.8000000000,250.0000000000,0,0
144,100,0,11,100,100,0,0,0,0,0,100,100,0.0208067256,46.6195970220,9.0909090909,15.1201709136,1.0000000000,0.8000000000,250.0000000000,0,0
145,100,0,11,100,100,0,0,0,0,0,100,100,0.0208067256,46.5987902965,9.0909090909,15.1201709136,1.0000000000,0.8000000000,250.0000000000,0,0
146,100,0,4,100,100,0,0,1,104,588,100,100,0.0298999026,46.5688903938,25.0000000000,15.6802027196,1.0000000000,0.8832000000,226.4492753623,0,0
147,100,0,4,100,100,0,0,0,0,0,100,100,0.0223737575,46.5465166364,25.0000000000,15.6802027196,1.0000000000,0.8000000000,250.0000000000,0,0
148,100,0,4,100,100,0,0,0,0,0,100,100,0.0223737575,46.5241428789,25.0000000000,15.6802027196,1.0000000000,0.8000000000,250.0000000000,0,0
149,100,0,4,100,100,0,0,0,0,0,100,100,0.0223737575,46.5017691215,25.0000000000,15.6802027196,1.0000000000,0.8000000000,250.0000000000,0,0
150,100,0,4,100,100,0,0,0,0,0,100,100,0.0223737575,46.4793953640,25.0000000000,15.6802027196,1.0000000000,0.8000000000,250.0000000000,0,0
151,100,0,4,100,100,0,0,1,104,588,100,100,0.0300756930,46.4493196710,25.0000000000,15.6801553238,1.0000000000,0.8832000000,226.4492753623,0,0
152,100,0,4,100,100,0,0,0,0,0,100,100,0.0225354310,46.4267842400,25.0000000000,15.6801553238,1.0000000000,0.8000000000,250.0000000000,0,0
153,100,0,4,100,100,0,0,0,0,0,100,100,0.0225354310,46.4042488090,25.0000000000,15.6801553238,1.0000000000,0.8000000000,250.0000000000,0,0
154,100,0,4,100,100,0,0,0,0,0,100,100,0.0225354310,46.3817133780,25.0000000000,15.6801553238,1.0000000000,0.8000000000,250.0000000000,0,0
155,100,0,4,100,100,0,0,0,0,0,100,100,0.0225354310,46.3591779470,25.0000000000,15.6801553238,1.0000000000,0.8000000000,250.0000000000,0,0
156,100,0,4,100,100,0,0,1,104,588,100,100,0.0299303354,46.3292476117,25.0000000000,15.6802287023,1.0000000000,0.8832000000,226.4492753623,0,0
157,100,0,4,100,100,0,0,0,0,0,100,100,0.0224120127,46.3068355990,25.0000000000,15.6802287023,1.0000000000,0.8000000000,250.0000000000,0,0
158,100,0,4,100,100,0,0,0,0,0,100,100,0.0224120127,46.2844235862,25.0000000000,15.6802287023,1.0000000000,0.8000000000,250.0000000000,0,0
159,100,0,4,100,100,0,0,0,0,0,100,100,0.0224120127,46.2620115735,25.0000000000,15.6802287023,1.0000000000,0.8000000000,250.0000000000,0,0
160,100,0,4,100,100,0,0,0,0,0,100,100,0.0224120127,46.2395995608,25.0000000000,15.6802287023,1.0000000000,0.8000000000,250.0000000000,0,0
161,100,0,3,100,100,0,0,1,103,491,100,100,0.0289399825,46.2106595783,33.3333333333,15.7601734236,1.0000000000,0.8824000000,226.6545784225,0,0
162,100,0,3,100,100,0,0,0,0,0,100,100,0.0224999367,46.1881596416,33.3333333333,15.7601734236,1.0000000000,0.8000000000,250.0000000000,0,0
163,100,0,3,100,100,0,0,0,0,0,100,100,0.0224999367,46.1656597049,33.3333333333,15.7601734236,1.0000000000,0.8000000000,250.0000000000,0,0
164,100,0,3,100,100,0,0,0,0,0,100,100,0.0224999367,46.1431597682,33.3333333333,15.7601734236,1.0000000000,0.8000000000,250.0000000000,0,0
165,100,0,3,100,100,0,0,0,0,0,100,100,0.0224999367,46.1206598315,33.3333333333,15.7601734236,1.0000000000,0.8000000000,250.0000000000,0,0
166,100,0,4,100,100,0,0,1,104,588,100,100,0.0294372400,46.0912225914,25.0000000000,15.6801873067,1.0000000000,0.8832000000,226.4492753623,0,0
167,100,0,4,100,100,0,0,0,0,0,100,100,0.0219637929,46.0692587985,25.0000000000,15.6801873067,1.0000000000,0.8000000000,250.0000000000,0,0
168,100,0,4,100,100,0,0,0,0,0,100,100,0.0219637929,46.0472950056,25.0000000000,15.6801873067,1.0000000000,0.8000000000,250.0000000000,0,0
169,100,0,4,100,100,0,0,0,0,0,100,100,0.0219637929,46.0253312127,25.0000000000,15.6801873067,1.0000000000,0.8000000000,250.0000000000,0,0
