Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Selection_Iterations,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
346,99,1,12,99,99,0,0,6,693,8238,99,99,0.1104302177,16.5699046930,8.2500000000,15.0304670944,1.0000000000,1.3464000000,147.0588235294
347,99,1,11,99,99,0,0,6,693,8240,99,99,0.1104382955,16.4594663974,9.0000000000,15.1112697865,1.0000000000,1.3464000000,147.0588235294
348,99,1,11,99,99,0,0,6,693,8240,99,99,0.1104715139,16.3489948835,9.0000000000,15.1112788131,1.0000000000,1.3464000000,147.0588235294
349,99,1,12,99,99,0,0,6,693,8238,99,99,0.1104633000,16.2385315836,8.2500000000,15.0304742060,1.0000000000,1.3464000000,147.0588235294
350,99,1,11,99,99,0,0,6,693,8240,99,99,0.1104959917,16.1280355918,9.0000000000,15.1112734555,1.0000000000,1.3464000000,147.0588235294
351,99,1,12,99,99,0,0,6,693,8238,99,99,0.1103444475,16.0176911444,8.2500000000,15.0304663335,1.0000000000,1.3464000000,147.0588235294
352,99,1,10,99,99,0,0,6,693,8242,99,99,0.1106686709,15.9070224734,9.9000000000,15.1920893759,1.0000000000,1.3464000000,147.0588235294
353,99,1,11,99,99,0,0,6,693,8240,99,99,0.1105404622,15.7964820112,9.0000000000,15.1112854186,1.0000000000,1.3464000000,147.0588235294
354,99,1,12,99,99,0,0,6,693,8238,99,99,0.1104287154,15.6860532959,8.2500000000,15.0304681866,1.0000000000,1.3464000000,147.0588235294
355,99,1,12,99,99,0,0,6,693,8238,99,99,0.1104019148,15.5756513811,8.2500000000,15.0304699270,1.0000000000,1.3464000000,147.0588235294
356,98,2,11,98,98,0,0,6,693,8239,98,98,0.1102792965,15.4653720845,8.9090909091,15.1022082491,1.0000000000,1.3384000000,146.4435146444
357,98,2,11,98,98,0,0,6,686,7974,98,98,0.1075712548,15.3578008297,8.9090909091,15.1022135509,1.0000000000,1.3328000000,147.0588235294
358,98,2,12,98,98,0,0,6,686,7972,98,98,0.1074575612,15.2503432686,8.1666666667,15.0205780876,1.0000000000,1.3328000000,147.0588235294
359,98,2,11,98,95,3,3,6,683,7968,95,95,0.1067826450,15.1435606235,8.6363636364,15.0738430297,0.9693877551,1.3064000000,145.4378444581
360,98,2,12,98,98,0,0,6,686,7972,98,98,0.1074389892,15.0361216343,8.1666666667,15.0205684412,1.0000000000,1.3328000000,147.0588235294
361,98,2,12,98,98,0,0,6,686,7972,98,98,0.1074600535,14.9286615808,8.1666666667,15.0205779575,1.0000000000,1.3328000000,147.0588235294
362,98,2,12,98,98,0,0,6,686,7972,98,98,0.1074247570,14.8212368238,8.1666666667,15.0205765547,1.0000000000,1.3328000000,147.0588235294
363,98,2,12,98,98,0,0,6,686,7972,98,98,0.1074660080,14.7137708158,8.1666666667,15.0205730544,1.0000000000,1.3328000000,147.0588235294
364,98,2,11,98,98,0,0,6,686,7974,98,98,0.1075008547,14.6062699612,8.9090909091,15.1022045728,1.0000000000,1.3328000000,147.0588235294
365,98,2,12,98,98,0,0,6,686,7972,98,98,0.1074729050,14.4987970561,8.1666666667,15.0205779303,1.0000000000,1.3328000000,147.0588235294
366,96,4,12,96,96,0,0,6,684,7728,96,96,0.1062509902,14.3925460659,8.0000000000,15.0001638549,1.0000000000,1.3152000000,145.9854014599
367,96,4,12,96,96,0,0,6,672,7488,96,96,0.1020663714,14.2904796946,8.0000000000,15.0001671588,1.0000000000,1.3056000000,147.0588235294
368,96,4,11,96,96,0,0,6,672,7490,96,96,0.1021390774,14.1883406172,8.7272727273,15.0835040683,1.0000000000,1.3056000000,147.0588235294
369,95,5,12,95,95,0,0,6,671,7372,95,95,0.1016735448,14.0866670724,7.9166666667,14.9896410873,1.0000000000,1.2968000000,146.5144972239
370,94,6,12,94,94,0,0,6,664,7148,94,94,0.0982001423,13.9884669301,7.8333333333,14.9788873963,1.0000000000,1.2832000000,146.5087281796
371,93,7,13,93,93,0,0,6,657,6910,93,93,0.0963509387,13.8921159914,7.1538461538,14.8818826954,1.0000000000,1.2696000000,146.5028355388
372,93,7,13,93,93,0,0,6,651,6784,93,93,0.0940743681,13.7980416233,7.1538461538,14.8818882363,1.0000000000,1.2648000000,147.0588235294
373,93,7,13,93,93,0,0,6,651,6784,93,93,0.0940883965,13.7039532268,7.1538461538,14.8818860764,1.0000000000,1.2648000000,147.0588235294
374,92,8,10,92,92,0,0,6,650,6674,92,92,0.0940162189,13.6099370079,9.2000000000,15.1306094260,1.0000000000,1.2560000000,146.4968152866
375,92,8,12,92,92,0,0,6,644,6556,92,92,0.0914658919,13.5184711159,7.6666666667,14.9566823245,1.0000000000,1.2512000000,147.0588235294
376,92,8,11,92,92,0,0,6,644,6558,92,92,0.0916821394,13.4267889765,8.3636363636,15.0436421268,1.0000000000,1.2512000000,147.0588235294
377,92,8,13,92,92,0,0,6,644,6554,92,92,0.0914252673,13.3353637092,7.0769230769,14.8697254891,1.0000000000,1.2512000000,147.0588235294
378,91,9,12,92,86,6,0,6,644,6556,91,91,0.0915252724,13.2438384367,7.2500000000,14.9769131826,0.9347826087,1.2432000000,138.3526383526
379,91,9,11,91,91,0,0,6,637,6376,91,91,0.0895660785,13.1542723582,8.2727272727,15.0331335508,1.0000000000,1.2376000000,147.0588235294
