Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,HEED_Iterations,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1702,7,93,6,7,7,0,0,6,31,7,7,7,0.0015484853,0.1046054237,1.1666666667,9.1430125573,1.0000000000,0.0808000000,173.2673267327
1703,7,93,6,7,7,0,0,6,34,8,7,7,0.0015922353,0.1030131884,1.1666666667,9.1430125573,1.0000000000,0.0832000000,168.2692307692
1704,7,93,6,7,7,0,0,6,27,6,7,7,0.0014774862,0.1015357022,1.1666666667,9.1430039120,1.0000000000,0.0776000000,180.4123711340
1705,6,94,5,6,6,0,0,6,24,8,6,6,0.0012876302,0.1002480720,1.2000000000,9.3334725050,1.0000000000,0.0672000000,178.5714285714
1706,6,94,5,6,6,0,0,6,23,6,6,6,0.0012558864,0.0989921856,1.2000000000,9.3334725050,1.0000000000,0.0664000000,180.7228915663
1707,6,94,5,6,6,0,0,6,20,6,6,6,0.0012381355,0.0977540501,1.2000000000,9.3334825913,1.0000000000,0.0640000000,187.5000000000
1708,6,94,5,6,6,0,0,6,24,6,6,6,0.0012831355,0.0964709146,1.2000000000,9.3334825913,1.0000000000,0.0672000000,178.5714285714
1709,6,94,5,6,6,0,0,6,18,7,6,6,0.0012256355,0.0952452791,1.2000000000,9.3334825913,1.0000000000,0.0624000000,192.3076923077
1710,6,94,5,6,6,0,0,6,19,6,6,6,0.0012268855,0.0940183936,1.2000000000,9.3334825913,1.0000000000,0.0632000000,189.8734177215
1711,6,94,5,6,6,0,0,6,20,6,6,6,0.0012221364,0.0927962572,1.2000000000,9.3334725050,1.0000000000,0.0640000000,187.5000000000
1712,6,94,5,6,6,0,0,6,24,9,6,6,0.0012971364,0.0914991208,1.2000000000,9.3334725050,1.0000000000,0.0672000000,178.5714285714
1713,6,94,5,6,6,0,0,6,32,9,6,6,0.0014031355,0.0900959853,1.2000000000,9.3334825913,1.0000000000,0.0736000000,163.0434782609
1714,6,94,5,6,6,0,0,6,19,5,6,6,0.0012008864,0.0888950990,1.2000000000,9.3334725050,1.0000000000,0.0632000000,189.8734177215
1715,6,94,5,6,6,0,0,6,18,7,6,6,0.0012256355,0.0876694635,1.2000000000,9.3334825913,1.0000000000,0.0624000000,192.3076923077
1716,6,94,5,6,6,0,0,6,22,6,6,6,0.0012606355,0.0864088280,1.2000000000,9.3334825913,1.0000000000,0.0656000000,182.9268292683
1717,6,94,5,6,6,0,0,6,26,6,6,6,0.0013056355,0.0851031925,1.2000000000,9.3334825913,1.0000000000,0.0688000000,174.4186046512
1718,6,94,5,6,6,0,0,6,24,9,6,6,0.0012971364,0.0838060561,1.2000000000,9.3334725050,1.0000000000,0.0672000000,178.5714285714
1719,6,94,5,6,6,0,0,6,22,8,6,6,0.0012646364,0.0825414197,1.2000000000,9.3334725050,1.0000000000,0.0656000000,182.9268292683
1720,6,94,5,6,6,0,0,6,19,8,6,6,0.0012308864,0.0813105333,1.2000000000,9.3334725050,1.0000000000,0.0632000000,189.8734177215
1721,5,95,5,6,4,2,0,6,22,7,5,5,0.0011536460,0.0801568874,1.0000000000,8.0001336810,0.6666666667,0.0576000000,138.8888888889
1722,5,95,5,5,5,0,0,6,17,0,5,5,0.0009329513,0.0792239360,1.0000000000,8.0001393453,1.0000000000,0.0536000000,186.5671641791
1723,4,96,5,5,4,1,0,6,22,0,4,4,0.0008964497,0.0783274864,1.0000000000,8.0001325761,0.8000000000,0.0496000000,161.2903225806
1724,4,96,4,4,4,0,0,6,20,0,4,4,0.0008068482,0.0775206382,1.0000000000,8.0001325761,1.0000000000,0.0480000000,166.6666666667
1725,4,96,4,4,4,0,0,6,16,0,4,4,0.0007618482,0.0767587900,1.0000000000,8.0001325761,1.0000000000,0.0448000000,178.5714285714
1726,4,96,4,4,4,0,0,6,17,0,4,4,0.0007730982,0.0759856918,1.0000000000,8.0001325761,1.0000000000,0.0456000000,175.4385964912
1727,4,96,4,4,4,0,0,6,18,0,4,4,0.0007843482,0.0752013436,1.0000000000,8.0001325761,1.0000000000,0.0464000000,172.4137931034
1728,4,96,4,4,4,0,0,6,11,0,4,4,0.0007055982,0.0744957455,1.0000000000,8.0001325761,1.0000000000,0.0408000000,196.0784313725
1729,4,96,4,4,4,0,0,6,13,0,4,4,0.0007280982,0.0737676473,1.0000000000,8.0001325761,1.0000000000,0.0424000000,188.6792452830
1730,4,96,4,4,4,0,0,6,15,0,4,4,0.0007505982,0.0730170491,1.0000000000,8.0001325761,1.0000000000,0.0440000000,181.8181818182
1731,4,96,4,4,4,0,0,6,15,0,4,4,0.0007505982,0.0722664509,1.0000000000,8.0001325761,1.0000000000,0.0440000000,181.8181818182
1732,4,96,4,4,4,0,0,6,22,0,4,4,0.0008293482,0.0714371028,1.0000000000,8.0001325761,1.0000000000,0.0496000000,161.2903225806
1733,4,96,4,4,4,0,0,6,17,0,4,4,0.0007730982,0.0706640046,1.0000000000,8.0001325761,1.0000000000,0.0456000000,175.4385964912
1734,4,96,4,4,4,0,0,6,16,0,4,4,0.0007618482,0.0699021564,1.0000000000,8.0001325761,1.0000000000,0.0448000000,178.5714285714
1735,4,96,4,4,4,0,0,6,15,0,4,4,0.0007505982,0.0691515582,1.0000000000,8.0001325761,1.0000000000,0.0440000000,181.8181818182
